character,true_emotion,sentence,predicted_emotion,emotion_raw_response,emotion_time,emotion_status,tension_modifier,tension_idiom,tension_degree_head,tension_word_count,tension_score,tension_raw_response,tension_time,tension_status,total_time
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,今天小明哭著說他不想上學，我聽了心好酸，還是忍不住陪他坐了一整節課。,悲傷,情緒：悲傷,1.5000357627868652,200,3,0,2,22,0.32,"Modifier：3
Idiom：0
DegreeHead：2
WordCount：22
Tension：0.32",1.6085200309753418,200,3.108555793762207
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,那棵我們一起種的小樹被風吹倒了，孩子們看到的時候眼眶都紅了，我也好難過。,悲傷,情緒：悲傷,1.371762990951538,200,2,0,1,22,0.18,"Modifier：2
Idiom：0
DegreeHead：1
WordCount：22
Tension：0.18",1.3383610248565674,200,2.7101240158081055
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,每次畢業季，看著孩子們一個個離開，心裡真的五味雜陳，很捨不得啊。,悲傷,情緒：悲傷,1.449042797088623,200,2,1,1,19,0.26,"Modifier：2
Idiom：1
DegreeHead：1
WordCount：19
Tension：0.26",1.955010175704956,200,3.404052972793579
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,剛才批改作文，有個孩子寫他爸爸又喝醉打人，我看得真的很心痛。,悲傷,情緒：悲傷,1.1504631042480469,200,2,0,2,21,0.19,"Modifier：2
Idiom：0
DegreeHead：2
WordCount：21
Tension：0.19",0.8903889656066895,200,2.0408520698547363
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,今天早上收到通知，小玲轉學了，連句道別都沒說，教室都空了一塊似的。,悲傷,情緒：悲傷,0.8167400360107422,200,1,0,0,21,0.05,"Modifier：1
Idiom：0
DegreeHead：0
WordCount：21
Tension：0.05",1.4980227947235107,200,2.314762830734253
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,有些孩子明明很聰明，卻因為家庭環境跟不上進度，我心裡真的很無力。,悲傷,情緒：悲傷,1.1422169208526611,200,2,0,2,20,0.2,"Modifier：2
Idiom：0
DegreeHead：2
WordCount：20
Tension：0.20",0.9955041408538818,200,2.137721061706543
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,前幾年教過的小哲出車禍過世了，真不敢相信那麼陽光的孩子就這樣走了⋯⋯,悲傷,情緒：悲傷,0.7569210529327393,200,2,0,1,19,0.21,"Modifier：2
Idiom：0
DegreeHead：1
WordCount：19
Tension：0.21",1.1598467826843262,200,1.9167678356170654
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,最近壓力有點大，回到家只想靜靜地坐著，什麼都不想講。,悲傷,情緒：悲傷,1.1310126781463623,200,3,0,1,18,0.28,"Modifier：3
Idiom：0
DegreeHead：1
WordCount：18
Tension：0.28",1.1692211627960205,200,2.300233840942383
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,我盡力想讓每個孩子都被看見，可有時候還是會覺得自己做得不夠好。,悲傷,情緒：悲傷,1.3185946941375732,200,3,0,3,21,0.43,"Modifier：3
Idiom：0
DegreeHead：3
WordCount：21
Tension：0.43",1.0516040325164795,200,2.3701987266540527
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,悲傷,有學生偷拿東西被抓，我當下其實很難過，因為我知道他不是壞孩子。,悲傷,情緒：悲傷,1.1234641075134277,200,2,0,1,19,0.21,"Modifier：2
Idiom：0
DegreeHead：1
WordCount：19
Tension：0.21",0.8404719829559326,200,1.9639360904693604
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,我真的不能接受家長用手機罵孩子，那不是教育，那是情緒發洩！,憤怒,情緒：憤怒,0.9243330955505371,200,2,0,1,19,0.21,"Modifier：2
Idiom：0
DegreeHead：1
WordCount：19
Tension：0.21",1.1391448974609375,200,2.0634779930114746
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,明明我提了三次學校設備要修，結果又拖了一個學期，真的氣人。,憤怒,情緒：憤怒,0.9346749782562256,200,1,0,1,18,0.17,"Modifier：1
Idiom：0
DegreeHead：1
WordCount：18
Tension：0.17",0.9565629959106445,200,1.8912379741668701
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,有些人老是把老師當保母，孩子的一切都丟給我們管，這樣對嗎？,憤怒,情緒：憤怒,0.8194811344146729,200,1,0,0,19,0.05,"Modifier：1
Idiom：0
DegreeHead：0
WordCount：19
Tension：0.05",0.8264822959899902,200,1.645963430404663
阿美老師（女性，42 歲，小學自然科老師，溫柔耐心）,憤怒,那位男老師竟然在會議上打斷我三次，完全不尊重別人發言！,憤怒,情緒：憤怒,0.7857441902160645,200,2,0,1,14,0.29,"Modifier：2
Idiom：0
DegreeHead：1
WordCount：14
Tension：0.29",1.0049309730529785,200,1.790675163269043
